industry,senator
Telecommunications Equipment,David Perdue
Natural Gas Distribution,David Perdue
Oil & Gas Production,David Perdue
Oil & Gas Production,David Perdue
Natural Gas Distribution,David Perdue
Containers/Packaging,David Perdue
Hotels/Resorts,David Perdue
Oil & Gas Production,David Perdue
Computer Manufacturing,David Perdue
Air Freight/Delivery Services,James M. Inhofe
Automotive Aftermarket,James M. Inhofe
Business Services,James M. Inhofe
Major Chemicals,James M. Inhofe
Business Services,James M. Inhofe
Catalog/Specialty Distribution,James M. Inhofe
Major Pharmaceuticals,James M. Inhofe
Packaged Foods,Shelley Moore Capito
Package Goods/Cosmetics,Shelley Moore Capito
Beverages (Production/Distribution),Shelley Moore Capito
Computer Manufacturing,John Hoeven
Beverages (Production/Distribution),John Hoeven
Investment Managers,John Hoeven
Beverages (Production/Distribution),John Hoeven
Telecommunications Equipment,John Hoeven
Air Freight/Delivery Services,John Hoeven
Investment Managers,John Hoeven
Consumer Electronics/Appliances,Tom Udall
"Computer Software: Programming, Data Processing",Sheldon Whitehouse
Investment Bankers/Brokers/Service,Sheldon Whitehouse
Industrial Machinery/Components,Sheldon Whitehouse
Beverages (Production/Distribution),Sheldon Whitehouse
Catalog/Specialty Distribution,Sheldon Whitehouse
Auto Manufacturing,Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Telecommunications Equipment,Sheldon Whitehouse
Auto Manufacturing,Sheldon Whitehouse
Major Pharmaceuticals,Sheldon Whitehouse
Major Banks,Sheldon Whitehouse
Beverages (Production/Distribution),Sheldon Whitehouse
Computer Manufacturing,Sheldon Whitehouse
Railroads,Sheldon Whitehouse
Major Banks,Sheldon Whitehouse
Biotechnology: Laboratory Analytical Instruments,Sheldon Whitehouse
Auto Manufacturing,Sheldon Whitehouse
Auto Manufacturing,Sheldon Whitehouse
Computer Software: Prepackaged Software,Sheldon Whitehouse
Electronic Components,James M. Inhofe
Auto Parts:O.E.M.,James M. Inhofe
Transportation Services,James M. Inhofe
Hotels/Resorts,David Perdue
Paints/Coatings,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Oil & Gas Production,David Perdue
Major Banks,David Perdue
Oil & Gas Production,David Perdue
Package Goods/Cosmetics,David Perdue
Containers/Packaging,David Perdue
Oilfield Services/Equipment,David Perdue
Major Banks,David Perdue
Natural Gas Distribution,David Perdue
Semiconductors,David Perdue
Integrated oil Companies,David Perdue
Oilfield Services/Equipment,David Perdue
Trucking Freight/Courier Services,David Perdue
Trucking Freight/Courier Services,David Perdue
Agricultural Chemicals,David Perdue
Telecommunications Equipment,David Perdue
Trucking Freight/Courier Services,David Perdue
Major Banks,David Perdue
Trucking Freight/Courier Services,David Perdue
Telecommunications Equipment,David Perdue
Telecommunications Equipment,David Perdue
"Computer Software: Programming, Data Processing",Susan M. Collins
Integrated oil Companies,Susan M. Collins
Natural Gas Distribution,Susan M. Collins
Major Banks,Susan M. Collins
Beverages (Production/Distribution),Susan M. Collins
Electric Utilities: Central,Susan M. Collins
Auto Manufacturing,Sheldon Whitehouse
Packaged Foods,Sheldon Whitehouse
Computer Manufacturing,Sheldon Whitehouse
Computer Manufacturing,Sheldon Whitehouse
Major Banks,Mitch Mcconnell
Auto Parts:O.E.M.,James M. Inhofe
Medical Electronics,Jack Reed
Radio And Television Broadcasting And Communications Equipment,Shelley Moore Capito
Computer Manufacturing,Shelley Moore Capito
Biotechnology: Commercial Physical & Biological Resarch,Shelley Moore Capito
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Containers/Packaging,David Perdue
Computer Manufacturing,David Perdue
Computer Manufacturing,David Perdue
Computer Manufacturing,David Perdue
Computer Manufacturing,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Computer Manufacturing,David Perdue
Television Services,David Perdue
Oil & Gas Production,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Paints/Coatings,David Perdue
Television Services,David Perdue
Major Pharmaceuticals,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Containers/Packaging,David Perdue
Agricultural Chemicals,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Television Services,David Perdue
Agricultural Chemicals,David Perdue
Television Services,David Perdue
Agricultural Chemicals,David Perdue
Agricultural Chemicals,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Computer peripheral equipment,David Perdue
Television Services,David Perdue
Computer peripheral equipment,David Perdue
Computer peripheral equipment,David Perdue
Computer peripheral equipment,David Perdue
Television Services,David Perdue
Major Pharmaceuticals,David Perdue
Containers/Packaging,David Perdue
Agricultural Chemicals,David Perdue
Agricultural Chemicals,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Containers/Packaging,David Perdue
Major Pharmaceuticals,David Perdue
Television Services,David Perdue
Oilfield Services/Equipment,"Angus S. King, Jr."
Packaged Foods,Gary C. Peters
Consumer Electronics/Appliances,Gary C. Peters
Telecommunications Equipment,Gary C. Peters
Industrial Machinery/Components,Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Specialty Insurers,Susan M. Collins
Restaurants,Susan M. Collins
Aerospace,Susan M. Collins
Clothing/Shoe/Accessory Stores,Susan M. Collins
Catalog/Specialty Distribution,Susan M. Collins
Major Pharmaceuticals,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Property-Casualty Insurers,James M. Inhofe
Consumer Electronics/Appliances,James M. Inhofe
Transportation Services,James M. Inhofe
Industrial Specialties,James M. Inhofe
Biotechnology: In Vitro & In Vivo Diagnostic Substances,James M. Inhofe
Major Chemicals,James M. Inhofe
Computer Software: Prepackaged Software,James M. Inhofe
Containers/Packaging,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Computer Manufacturing,David Perdue
Major Pharmaceuticals,David Perdue
Computer Manufacturing,David Perdue
Major Pharmaceuticals,David Perdue
Containers/Packaging,David Perdue
Containers/Packaging,David Perdue
Television Services,David Perdue
Major Pharmaceuticals,David Perdue
Containers/Packaging,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Television Services,David Perdue
Major Pharmaceuticals,David Perdue
Semiconductors,David Perdue
Plastic Products,David Perdue
Oil & Gas Production,David Perdue
Agricultural Chemicals,David Perdue
Television Services,David Perdue
Package Goods/Cosmetics,David Perdue
Major Pharmaceuticals,David Perdue
Construction/Ag Equipment/Trucks,David Perdue
Paper,David Perdue
Natural Gas Distribution,David Perdue
Major Banks,David Perdue
Major Banks,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Banks,David Perdue
Major Banks,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Television Services,David Perdue
Major Banks,David Perdue
Major Pharmaceuticals,David Perdue
Auto Manufacturing,David Perdue
Oil & Gas Production,David Perdue
Plastic Products,David Perdue
Paints/Coatings,David Perdue
Agricultural Chemicals,David Perdue
Agricultural Chemicals,David Perdue
Television Services,David Perdue
Hotels/Resorts,David Perdue
Telecommunications Equipment,David Perdue
Television Services,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Paints/Coatings,Dan Sullivan
Investment Bankers/Brokers/Service,Bill Cassidy
Medical/Nursing Services,Tammy Duckworth
Packaged Foods,Tammy Duckworth
Consumer Electronics/Appliances,Tammy Duckworth
Department/Specialty Retail Stores,Pat Roberts
"Computer Software: Programming, Data Processing",Pat Roberts
Auto Manufacturing,Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Biotechnology: Biological Products (No Diagnostic Substances),Shelley Moore Capito
Radio And Television Broadcasting And Communications Equipment,Shelley Moore Capito
Railroads,Shelley Moore Capito
Consumer Electronics/Appliances,James M. Inhofe
"Computer Software: Programming, Data Processing",James M. Inhofe
Auto Parts:O.E.M.,James M. Inhofe
Auto Parts:O.E.M.,James M. Inhofe
Transportation Services,James M. Inhofe
Paints/Coatings,Dan Sullivan
Consumer Electronics/Appliances,Patrick J. Toomey
Air Freight/Delivery Services,John Hoeven
Containers/Packaging,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Paints/Coatings,David Perdue
Television Services,David Perdue
Semiconductors,David Perdue
Oil & Gas Production,David Perdue
Oil & Gas Production,David Perdue
Computer Manufacturing,David Perdue
Paints/Coatings,David Perdue
Department/Specialty Retail Stores,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Computer Manufacturing,Pat Roberts
Semiconductors,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Computer Manufacturing,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Medical/Dental Instruments,Tina Smith
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tina Smith
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tina Smith
Medical/Dental Instruments,Tina Smith
Shoe Manufacturing,"Angus S. King, Jr."
Property-Casualty Insurers,"Angus S. King, Jr."
Major Banks,Mitch Mcconnell
Oil Refining/Marketing,Patrick J. Toomey
Oil Refining/Marketing,Patrick J. Toomey
Package Goods/Cosmetics,Patrick J. Toomey
Investment Bankers/Brokers/Service,Sheldon Whitehouse
Telecommunications Equipment,Sheldon Whitehouse
Business Services,Sheldon Whitehouse
Industrial Machinery/Components,Sheldon Whitehouse
Department/Specialty Retail Stores,Sheldon Whitehouse
Department/Specialty Retail Stores,Sheldon Whitehouse
Telecommunications Equipment,Sheldon Whitehouse
Auto Manufacturing,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Natural Gas Distribution,David Perdue
Television Services,David Perdue
Agricultural Chemicals,David Perdue
Computer peripheral equipment,David Perdue
Major Banks,David Perdue
Agricultural Chemicals,David Perdue
Paints/Coatings,David Perdue
Agricultural Chemicals,David Perdue
Agricultural Chemicals,David Perdue
Hotels/Resorts,David Perdue
Agricultural Chemicals,David Perdue
Agricultural Chemicals,David Perdue
Computer peripheral equipment,David Perdue
Hotels/Resorts,David Perdue
Major Pharmaceuticals,David Perdue
Agricultural Chemicals,David Perdue
Agricultural Chemicals,David Perdue
Television Services,David Perdue
Agricultural Chemicals,David Perdue
Telecommunications Equipment,David Perdue
Telecommunications Equipment,David Perdue
Television Services,David Perdue
Agricultural Chemicals,David Perdue
Hotels/Resorts,David Perdue
"Computer Software: Programming, Data Processing",Pat Roberts
Integrated oil Companies,Pat Roberts
Oil & Gas Production,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Semiconductors,Pat Roberts
Computer Manufacturing,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Major Banks,Pat Roberts
Aerospace,Pat Roberts
Construction/Ag Equipment/Trucks,John Hoeven
Computer Software: Prepackaged Software,James M. Inhofe
Transportation Services,James M. Inhofe
Industrial Machinery/Components,James M. Inhofe
Building operators,James M. Inhofe
Other Consumer Services,James M. Inhofe
Natural Gas Distribution,Shelley Moore Capito
Biotechnology: Biological Products (No Diagnostic Substances),Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Paints/Coatings,David Perdue
Auto Manufacturing,David Perdue
Auto Manufacturing,David Perdue
Restaurants,David Perdue
Containers/Packaging,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Auto Manufacturing,David Perdue
Consumer Electronics/Video Chains,David Perdue
Auto Manufacturing,David Perdue
Advertising,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Major Banks,David Perdue
Television Services,David Perdue
Auto Manufacturing,David Perdue
Auto Manufacturing,David Perdue
Auto Manufacturing,David Perdue
Auto Manufacturing,David Perdue
Food Distributors,Jack Reed
"Computer Software: Programming, Data Processing",Pat Roberts
Industrial Machinery/Components,Pat Roberts
Major Banks,Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
Major Banks,Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
Major Banks,Pat Roberts
Paints/Coatings,Dan Sullivan
Paints/Coatings,Dan Sullivan
Industrial Machinery/Components,Jack Reed
Aerospace,Shelley Moore Capito
Department/Specialty Retail Stores,Sheldon Whitehouse
Business Services,Sheldon Whitehouse
Industrial Machinery/Components,Sheldon Whitehouse
Investment Bankers/Brokers/Service,Sheldon Whitehouse
Air Freight/Delivery Services,Sheldon Whitehouse
Major Banks,Sheldon Whitehouse
Aerospace,Sheldon Whitehouse
Business Services,Sheldon Whitehouse
Packaged Foods,Sheldon Whitehouse
Investment Managers,Sheldon Whitehouse
Telecommunications Equipment,Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Industrial Machinery/Components,James M. Inhofe
Auto Parts:O.E.M.,James M. Inhofe
Auto Parts:O.E.M.,James M. Inhofe
Medical Specialities,Susan M. Collins
Oilfield Services/Equipment,Susan M. Collins
Major Pharmaceuticals,Susan M. Collins
Beverages (Production/Distribution),Susan M. Collins
Television Services,Susan M. Collins
Medical Specialities,Susan M. Collins
Industrial Machinery/Components,Susan M. Collins
Major Pharmaceuticals,Susan M. Collins
Beverages (Production/Distribution),Susan M. Collins
Telecommunications Equipment,John Hoeven
Television Services,David Perdue
Auto Manufacturing,David Perdue
Auto Manufacturing,David Perdue
Integrated oil Companies,David Perdue
Broadcasting,David Perdue
Broadcasting,David Perdue
Other Specialty Stores,David Perdue
Hotels/Resorts,David Perdue
Hotels/Resorts,David Perdue
Computer peripheral equipment,David Perdue
Major Banks,David Perdue
Computer peripheral equipment,David Perdue
Computer peripheral equipment,David Perdue
Major Banks,David Perdue
Broadcasting,David Perdue
Broadcasting,David Perdue
Natural Gas Distribution,David Perdue
Oil & Gas Production,David Perdue
Rental/Leasing Companies,David Perdue
Oil/Gas Transmission,David Perdue
Oil/Gas Transmission,David Perdue
Major Banks,David Perdue
Major Banks,David Perdue
Hotels/Resorts,David Perdue
Broadcasting,David Perdue
Telecommunications Equipment,David Perdue
Broadcasting,David Perdue
Other Specialty Stores,David Perdue
Broadcasting,David Perdue
Restaurants,David Perdue
Oil & Gas Production,David Perdue
Broadcasting,David Perdue
Other Specialty Stores,David Perdue
Other Specialty Stores,David Perdue
Television Services,David Perdue
Television Services,David Perdue
RETAIL: Building Materials,Gary C. Peters
Catalog/Specialty Distribution,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Integrated oil Companies,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Biotechnology: Biological Products (No Diagnostic Substances),James M. Inhofe
Major Pharmaceuticals,James M. Inhofe
Life Insurance,John Hoeven
Medical/Nursing Services,John Hoeven
Catalog/Specialty Distribution,John Hoeven
Major Banks,Mitch Mcconnell
Major Banks,Susan M. Collins
Major Banks,Susan M. Collins
Medical Electronics,Susan M. Collins
Medical/Dental Instruments,Tina Smith
Medical/Dental Instruments,Tina Smith
Medical/Dental Instruments,Tina Smith
Marine Transportation,Shelley Moore Capito
Computer Software: Prepackaged Software,Patrick J. Toomey
Computer Software: Prepackaged Software,Patrick J. Toomey
Major Banks,Sheldon Whitehouse
Catalog/Specialty Distribution,Sheldon Whitehouse
Property-Casualty Insurers,Sheldon Whitehouse
RETAIL: Building Materials,Sheldon Whitehouse
Restaurants,Sheldon Whitehouse
Auto Manufacturing,Sheldon Whitehouse
Industrial Machinery/Components,Sheldon Whitehouse
Beverages (Production/Distribution),Sheldon Whitehouse
Semiconductors,Sheldon Whitehouse
Computer Manufacturing,Sheldon Whitehouse
Auto Manufacturing,Sheldon Whitehouse
Auto Parts:O.E.M.,Sheldon Whitehouse
Telecommunications Equipment,John Hoeven
Packaged Foods,John Hoeven
Television Services,David Perdue
Major Banks,David Perdue
Rental/Leasing Companies,David Perdue
Other Specialty Stores,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Other Specialty Stores,David Perdue
Other Specialty Stores,David Perdue
Other Specialty Stores,David Perdue
Beverages (Production/Distribution),David Perdue
Other Specialty Stores,David Perdue
Television Services,David Perdue
Beverages (Production/Distribution),David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Telecommunications Equipment,David Perdue
Broadcasting,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Television Services,David Perdue
Broadcasting,David Perdue
Television Services,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Computer peripheral equipment,David Perdue
Computer peripheral equipment,David Perdue
Computer peripheral equipment,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Banks,Pat Roberts
Biotechnology: Biological Products (No Diagnostic Substances),"Angus S. King, Jr."
Electric Utilities: Central,"Robert P. Casey, Jr."
Apparel,Bill Cassidy
Trucking Freight/Courier Services,Bill Cassidy
Restaurants,Bill Cassidy
Package Goods/Cosmetics,Bill Cassidy
Computer Software: Prepackaged Software,Bill Cassidy
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Bill Cassidy
RETAIL: Building Materials,Bill Cassidy
Computer Manufacturing,Bill Cassidy
Office Equipment/Supplies/Services,Bill Cassidy
Integrated oil Companies,Bill Cassidy
Consumer Electronics/Appliances,Bill Cassidy
Television Services,Bill Cassidy
Computer Communications Equipment,Bill Cassidy
Medical/Nursing Services,Bill Cassidy
Investment Bankers/Brokers/Service,Bill Cassidy
Accident &Health Insurance,Bill Cassidy
Major Banks,Mitch Mcconnell
Major Banks,Mitch Mcconnell
Major Banks,Mitch Mcconnell
Computer Software: Prepackaged Software,Patrick J. Toomey
Natural Gas Distribution,Shelley Moore Capito
Oil & Gas Production,Shelley Moore Capito
Power Generation,Shelley Moore Capito
Department/Specialty Retail Stores,Shelley Moore Capito
Apparel,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Medical/Dental Instruments,Shelley Moore Capito
Department/Specialty Retail Stores,Shelley Moore Capito
Food Distributors,Shelley Moore Capito
Radio And Television Broadcasting And Communications Equipment,Shelley Moore Capito
Package Goods/Cosmetics,Shelley Moore Capito
Industrial Specialties,Shelley Moore Capito
Integrated oil Companies,Shelley Moore Capito
Beverages (Production/Distribution),Shelley Moore Capito
Diversified Commercial Services,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Railroads,Shelley Moore Capito
Shoe Manufacturing,Shelley Moore Capito
Electric Utilities: Central,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Computer Software: Prepackaged Software,Shelley Moore Capito
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Shelley Moore Capito
Restaurants,Shelley Moore Capito
RETAIL: Building Materials,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Industrial Machinery/Components,Shelley Moore Capito
Packaged Foods,Shelley Moore Capito
Marine Transportation,Shelley Moore Capito
"Computer Software: Programming, Data Processing",Shelley Moore Capito
Integrated oil Companies,Shelley Moore Capito
Electric Utilities: Central,Shelley Moore Capito
Consumer Electronics/Appliances,Shelley Moore Capito
Package Goods/Cosmetics,Shelley Moore Capito
Specialty Chemicals,Shelley Moore Capito
Computer Communications Equipment,Shelley Moore Capito
Property-Casualty Insurers,Shelley Moore Capito
Integrated oil Companies,Shelley Moore Capito
Investment Bankers/Brokers/Service,Shelley Moore Capito
Medical/Dental Instruments,Shelley Moore Capito
EDP Services,Shelley Moore Capito
Semiconductors,Shelley Moore Capito
Biotechnology: Biological Products (No Diagnostic Substances),Shelley Moore Capito
Major Chemicals,Shelley Moore Capito
Business Services,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Telecommunications Equipment,Shelley Moore Capito
Accident &Health Insurance,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Investment Bankers/Brokers/Service,Shelley Moore Capito
Apparel,Shelley Moore Capito
Packaged Foods,Shelley Moore Capito
Oilfield Services/Equipment,Shelley Moore Capito
Oil & Gas Production,Shelley Moore Capito
Investment Bankers/Brokers/Service,Shelley Moore Capito
Diversified Commercial Services,Shelley Moore Capito
Power Generation,Shelley Moore Capito
Department/Specialty Retail Stores,Shelley Moore Capito
Apparel,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Medical/Dental Instruments,Shelley Moore Capito
Food Distributors,Shelley Moore Capito
Industrial Specialties,Shelley Moore Capito
Integrated oil Companies,Shelley Moore Capito
Beverages (Production/Distribution),Shelley Moore Capito
Diversified Commercial Services,Shelley Moore Capito
Railroads,Shelley Moore Capito
Electric Utilities: Central,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Computer Software: Prepackaged Software,Shelley Moore Capito
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Shelley Moore Capito
Restaurants,Shelley Moore Capito
RETAIL: Building Materials,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Industrial Machinery/Components,Shelley Moore Capito
Marine Transportation,Shelley Moore Capito
Electric Utilities: Central,Shelley Moore Capito
Consumer Electronics/Appliances,Shelley Moore Capito
Package Goods/Cosmetics,Shelley Moore Capito
Specialty Chemicals,Shelley Moore Capito
Computer Communications Equipment,Shelley Moore Capito
Property-Casualty Insurers,Shelley Moore Capito
Integrated oil Companies,Shelley Moore Capito
Investment Bankers/Brokers/Service,Shelley Moore Capito
Medical/Dental Instruments,Shelley Moore Capito
EDP Services,Shelley Moore Capito
Semiconductors,Shelley Moore Capito
Biotechnology: Biological Products (No Diagnostic Substances),Shelley Moore Capito
Major Chemicals,Shelley Moore Capito
Business Services,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Telecommunications Equipment,Shelley Moore Capito
Accident &Health Insurance,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Packaged Foods,Shelley Moore Capito
Natural Gas Distribution,Susan M. Collins
Business Services,James M. Inhofe
Medical Specialities,James M. Inhofe
Computer Software: Prepackaged Software,James M. Inhofe
Beverages (Production/Distribution),James M. Inhofe
Computer Software: Prepackaged Software,James M. Inhofe
Medical Specialities,James M. Inhofe
Integrated oil Companies,James M. Inhofe
Finance: Consumer Services,James M. Inhofe
Air Freight/Delivery Services,James M. Inhofe
Biotechnology: Laboratory Analytical Instruments,James M. Inhofe
Major Banks,James M. Inhofe
Automotive Aftermarket,James M. Inhofe
Building operators,James M. Inhofe
Investment Bankers/Brokers/Service,James M. Inhofe
"Computer Software: Programming, Data Processing",James M. Inhofe
Computer Manufacturing,James M. Inhofe
Computer Software: Prepackaged Software,James M. Inhofe
Investment Bankers/Brokers/Service,James M. Inhofe
Medical/Nursing Services,Gary C. Peters
Business Services,Sheldon Whitehouse
Medical/Nursing Services,Sheldon Whitehouse
Television Services,Sheldon Whitehouse
Major Banks,Sheldon Whitehouse
Real Estate Investment Trusts,Sheldon Whitehouse
Computer Manufacturing,Sheldon Whitehouse
Computer Manufacturing,John Hoeven
Semiconductors,Pat Roberts
Integrated oil Companies,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Investment Managers,Roger F. Wicker
Telecommunications Equipment,David Perdue
Major Banks,David Perdue
Packaged Foods,David Perdue
Major Pharmaceuticals,David Perdue
Specialty Chemicals,David Perdue
Package Goods/Cosmetics,David Perdue
Beverages (Production/Distribution),David Perdue
Power Generation,David Perdue
Computer Software: Prepackaged Software,Tina Smith
Computer Software: Prepackaged Software,Tina Smith
Computer Software: Prepackaged Software,Tina Smith
"Computer Software: Programming, Data Processing",Sheldon Whitehouse
"Computer Software: Programming, Data Processing",Sheldon Whitehouse
"Computer Software: Programming, Data Processing",Sheldon Whitehouse
Computer Software: Prepackaged Software,Tina Smith
Major Banks,Shelley Moore Capito
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Hotels/Resorts,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Oil & Gas Production,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Plastic Products,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Trucking Freight/Courier Services,John Hoeven
Department/Specialty Retail Stores,John Hoeven
Construction/Ag Equipment/Trucks,John Hoeven
Semiconductors,Jack Reed
Major Pharmaceuticals,Jack Reed
Industrial Machinery/Components,Jack Reed
Medical/Dental Instruments,Jack Reed
Radio And Television Broadcasting And Communications Equipment,Jack Reed
Industrial Specialties,Jack Reed
Semiconductors,Jack Reed
Industrial Machinery/Components,Jack Reed
Biotechnology: Commercial Physical & Biological Resarch,Jack Reed
Aerospace,Jack Reed
Air Freight/Delivery Services,Jack Reed
Industrial Machinery/Components,Jack Reed
Department/Specialty Retail Stores,Jack Reed
Computer Communications Equipment,Jack Reed
Medical/Nursing Services,Jack Reed
Computer Manufacturing,Jack Reed
Semiconductors,Jack Reed
Biotechnology: Biological Products (No Diagnostic Substances),Jack Reed
Major Banks,Shelley Moore Capito
Packaged Foods,Shelley Moore Capito
Investment Bankers/Brokers/Service,Shelley Moore Capito
Oil & Gas Production,Shelley Moore Capito
EDP Services,Shelley Moore Capito
Beverages (Production/Distribution),Shelley Moore Capito
Semiconductors,Sheldon Whitehouse
Major Banks,Sheldon Whitehouse
Medical/Dental Instruments,Tina Smith
Rental/Leasing Companies,David Perdue
Computer Communications Equipment,David Perdue
Broadcasting,David Perdue
Television Services,David Perdue
Broadcasting,David Perdue
Oil & Gas Production,David Perdue
Major Pharmaceuticals,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Oil & Gas Production,David Perdue
Trucking Freight/Courier Services,David Perdue
Integrated oil Companies,David Perdue
Trucking Freight/Courier Services,David Perdue
Integrated oil Companies,David Perdue
Major Banks,David Perdue
Major Banks,David Perdue
Trucking Freight/Courier Services,David Perdue
Oil Refining/Marketing,David Perdue
Oil Refining/Marketing,David Perdue
Integrated oil Companies,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Trucking Freight/Courier Services,David Perdue
Integrated oil Companies,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Banks,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Paints/Coatings,David Perdue
Oil & Gas Production,David Perdue
Oil & Gas Production,David Perdue
Computer peripheral equipment,David Perdue
Telecommunications Equipment,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Banks,David Perdue
Major Banks,David Perdue
Natural Gas Distribution,David Perdue
Oil Refining/Marketing,David Perdue
Telecommunications Equipment,David Perdue
Telecommunications Equipment,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Oil & Gas Production,David Perdue
Department/Specialty Retail Stores,Pat Roberts
"Computer Software: Programming, Data Processing",Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
"Computer Software: Programming, Data Processing",Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
"Computer Software: Programming, Data Processing",Pat Roberts
Finance Companies,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Aerospace,Pat Roberts
Major Banks,Pat Roberts
Major Banks,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Aerospace,Pat Roberts
Finance Companies,Pat Roberts
Computer Manufacturing,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Semiconductors,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Military/Government/Technical,Pat Roberts
Computer Manufacturing,Pat Roberts
Semiconductors,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Transportation Services,James M. Inhofe
